sop_class_name,value,objects
RT Structure Set Storage,"Pre-dose, CARDIOPHRENIC LYMPH NODE - 2",15
RT Structure Set Storage,"Pre-Dose, RIGHT ADRENAL - 1",15
Segmentation Storage,NLSTSeg Segmentation of Series: 1,15
Segmentation Storage,VOI PE Segmentation thresh=70,15
Segmentation Storage,BAMF-Breast-FDG-PET-CT,15
RT Structure Set Storage,"Pre-dose, COLON - 1 - SEED POINT",14
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL LYMPH NODE - 2 - SEED POINT",14
RT Structure Set Storage,"Pre-dose, ESOPHAGUS - 1 - SEED POINT",14
RT Structure Set Storage,"Pre-Dose, LIVER - 2 - SEED POINT",14
RT Structure Set Storage,"Pre-dose, RIGHT INGUINAL LYMPH NODE - 1",14
RT Structure Set Storage,"Pre-dose, LEFT BREAST - 1",14
RT Structure Set Storage,"Pre-Dose, LIVER - 2",14
RT Structure Set Storage,"Pre-dose, ESOPHAGUS - 1",14
Segmentation Storage,"Pre-dose, LEFT LUNG - 2",14
Segmentation Storage,"Pre-dose, RETROPERITONEAL LYMPH NODE - 1",14
Segmentation Storage,"Pre-dose, PERITONEUM - 1",14
Segmentation Storage,cerebrum seg - MR ref: 3D_AX_T1_postcontrast,14
RT Structure Set Storage,"Pre-dose, STOMACH - 1 - SEED POINT",13
RT Structure Set Storage,"Pre-dose, RIGHT PLEURA - 2 - SEED POINT",13
RT Structure Set Storage,"Pre-dose, ILIAC LYMPH NODE - 2 - SEED POINT",13
RT Structure Set Storage,"Pre-dose, LEFT PLEURA - 2",13
RT Structure Set Storage,"Pre-dose, SUBCARINAL LYMPH NODE - 2",13
RT Structure Set Storage,"Pre-dose, RECTUM - 1",13
RT Structure Set Storage,"Pre-dose, COLON - 1",13
Segmentation Storage,"Pre-dose, MEDIASTINAL LYMPH NODE - 1",13
Segmentation Storage,AIMI Brain MRI radiologist 11 corrected segmentation,13
Segmentation Storage,BAMFHealth^Radiologist11,13
RT Structure Set Storage,"Pre-dose, RETROPERITONEUM - 2 - SEED POINT",12
RT Structure Set Storage,"Follow-up consultation, LIVER - 1 - SEED POINT",12
RT Structure Set Storage,"Pre-dose, LEFT INGUINAL LYMPH NODE - 2",12
RT Structure Set Storage,"Pre-dose, OMENTUM - 1",12
RT Structure Set Storage,"Pre-dose, MESENTERIC LYMPH NODE - 2",12
Segmentation Storage,NA,12
RT Structure Set Storage,"Pre-dose, RIGHT OVARY - 1 - SEED POINT",11
RT Structure Set Storage,"Pre-dose, ABDOMINAL WALL - 2 - SEED POINT",11
RT Structure Set Storage,"Pre-dose, RIGHT KIDNEY - 1 - SEED POINT",11
RT Structure Set Storage,"Pre-dose, AORTOCAVAL LYMPH NODE - 1 - SEED POINT",11
RT Structure Set Storage,"Pre-dose, RIGHT INGUINAL LYMPH NODE - 2 - SEED POINT",11
RT Structure Set Storage,"Follow-up consultation, LIVER - 1",11
RT Structure Set Storage,"Pre-dose, ILIAC LYMPH NODE - 2",11
RT Structure Set Storage,"Pre-dose, RIGHT PLEURA - 2",11
Segmentation Storage,tumor seg - MR ref: 3D_AX_T1_postcontrast,11
Segmentation Storage,"Pre-dose, PANCREAS - 1",11
Segmentation Storage,Segmentation of Nodule 2 - Annotation Nodule 002,11
Segmentation Storage,ventricles seg - MR ref: 3D_AX_T1_postcontrast,11
Segmentation Storage,PE Segmentation thresh=90,11
Key Object Selection Document Storage,NIfTI Visit 2,10
Key Object Selection Document Storage,NIfTI Visit 1,10
Key Object Selection Document Storage,Matlab Visit 2,10
Key Object Selection Document Storage,Matlab Visit 1,10
Comprehensive 3D SR Storage,Optima CT660,10
RT Structure Set Storage,"Pre-dose, LEFT OVARY - 1 - SEED POINT",10
RT Structure Set Storage,"Pre-dose, SPLEEN - 2 - SEED POINT",10
RT Structure Set Storage,"Pre-dose, ABDOMINAL WALL - 2",10
RT Structure Set Storage,"Pre-dose, RIGHT KIDNEY - 1",10
RT Structure Set Storage,"Pre-dose, STOMACH - 1",10
RT Structure Set Storage,BSO1_BSO2_ROI_SDO1_SDO2,10
Segmentation Storage,SIGNA EXCITE,10
Comprehensive SR Storage,Completed[Edited],9
RT Structure Set Storage,"Pre-dose, RIGHT CHEST WALL - 1 - SEED POINT",9
RT Structure Set Storage,"Pre-dose, RIGHT ADNEXA - 1 - SEED POINT",9
RT Structure Set Storage,"Pre-dose, AXILLARY LYMPH NODE - 1 - SEED POINT",9
RT Structure Set Storage,"Follow-up consultation, LIVER - 2 - SEED POINT",9
RT Structure Set Storage,"Pre-dose, HEPATIC LYMPH NODE - 2 - SEED POINT",9
RT Structure Set Storage,"Pre-Dose, LEFT PELVIS - 1 - SEED POINT",9
RT Structure Set Storage,"Pre-Dose, PELVIC LYMPH NODE - 1 - SEED POINT",9
RT Structure Set Storage,"Pre-dose, HEPATIC LYMPH NODE - 2",9
RT Structure Set Storage,"Pre-Dose, LEFT PELVIS - 1",9
RT Structure Set Storage,"Pre-dose, AORTOCAVAL LYMPH NODE - 1",9
RT Structure Set Storage,"Pre-dose, SPLEEN - 2",9
RT Structure Set Storage,"Pre-dose, RETROPERITONEUM - 2",9
RT Structure Set Storage,"Follow-up consultation, LIVER - 2",9
RT Structure Set Storage,"Pre-Dose, PELVIC LYMPH NODE - 1",9
Segmentation Storage,GEMINI TF TOF 16,9
Segmentation Storage,QIBA CT 1C Reader 3,9
Segmentation Storage,Hamamatsu,9
Segmentation Storage,"Pre-dose, PERITONEUM - 2",9
Segmentation Storage,Segmentation of Nodule 1 - Annotation Nodule 001,9
Segmentation Storage,VOI PE Segmentation thresh=90,9
RT Structure Set Storage,"Pre-dose, PSOAS - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, LEFT ADNEXA - 2 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, PANCREAS - 2 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, LEFT KIDNEY - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, LEFT HILAR LYMPH NODE - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, PERITONEAL DEPOSIT - 1 - SEED POINT",8
RT Structure Set Storage,"Follow-up consultation, LEFT LUNG - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, PUBIC BONE - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-Dose, RIGHT LUNG - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL GLAND - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-Dose, LEFT KIDNEY - 2 - SEED POINT",8
RT Structure Set Storage,"Pre-Dose, MEDIASTINAL LYMPH NODE - 1 - SEED POINT",8
RT Structure Set Storage,"Pre-dose, RIGHT INGUINAL LYMPH NODE - 2",8
RT Structure Set Storage,"Pre-Dose, RIGHT LUNG - 1",8
RT Structure Set Storage,"Pre-Dose, MEDIASTINAL LYMPH NODE - 1",8
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL GLAND - 1",8
RT Structure Set Storage,"Pre-Dose, LEFT KIDNEY - 2",8
RT Structure Set Storage,"Pre-dose, AXILLARY LYMPH NODE - 1",8
RT Structure Set Storage,"Pre-dose, LEFT OVARY - 1",8
RT Structure Set Storage,"Pre-dose, RIGHT CHEST WALL - 1",8
RT Structure Set Storage,"Pre-dose, RIGHT OVARY - 1",8
RT Structure Set Storage,"Pre-dose, PUBIC BONE - 1",8
Segmentation Storage,Segmentation of Nodule 1 - Annotation 0,8
Segmentation Storage,ePAD^3.3,8
Segmentation Storage,ePAD3.3,8
Segmentation Storage,AIMI Kidney Segmentation,8
Segmentation Storage,Reader01,8
Segmentation Storage,AIMI liver AI segmentation,8
Segmentation Storage,BAMF-Liver-CT,8
Comprehensive 3D SR Storage,Mx8000 IDT 16,7
RT Structure Set Storage,"Pre-dose, RIGHT PELVIS - 1 - SEED POINT",7
RT Structure Set Storage,"Pre-dose, RIGHT RIB - 2 - SEED POINT",7
RT Structure Set Storage,"Pre-dose, PARA AORTIC LYMPH NODE - 1 - SEED POINT",7
RT Structure Set Storage,"Pre-dose, LEFT ILIAC BONE - 2 - SEED POINT",7
RT Structure Set Storage,"Pre-dose, PORTA HEPATIS LYMPH NODE - 1 - SEED POINT",7
RT Structure Set Storage,"Follow-up consultation, LEFT LUNG - 2 - SEED POINT",7
RT Structure Set Storage,"Pre-dose, RIGHT BREAST - 2 - SEED POINT",7
RT Structure Set Storage,"Pre-dose, PARAAORTIC - 1 - SEED POINT",7
