sop_class_name,value,objects
RT Structure Set Storage,"Pre-Dose, LEFT ADRENAL GLAND - 2",1
RT Structure Set Storage,"Follow-up consultation, RECTUM - 1",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT KIDNEY - 2",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT NECK LYMPH NODE - 2",1
RT Structure Set Storage,"Post-Chemotherapy #1, LYMPH NODE - 1",1
RT Structure Set Storage,"Follow-up consultation, PARAAORTIC - 1",1
RT Structure Set Storage,"Post-Chemotherapy #2, RIGHT KIDNEY - 1",1
RT Structure Set Storage,"Pre-Dose, LEFT RENAL - 1",1
RT Structure Set Storage,"Pre-dose, SMALL INTESTINE - 1",1
RT Structure Set Storage,"Pre-Dose, LUNG - 2",1
RT Structure Set Storage,"P4^P117^S308^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S308^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"Post-Chemotherapy #2, LEFT NECK LYMPH NODE - 1",1
RT Structure Set Storage,"Follow-up consultation, LEFT OVARY - 1",1
RT Structure Set Storage,"Pre-dose, PARACAVAL LYMPH NODE - 2",1
RT Structure Set Storage,"Pre-dose, LEFT SUPRAHILAR - 1",1
RT Structure Set Storage,"P4^P117^S306^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P117^S306^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"Pre-dose, LEFT AXILLA - 2",1
RT Structure Set Storage,"P4^P117^S304^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S305^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S304^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00013, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00007, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00006, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00008, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00005, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00010, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00009, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00014, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00012, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P118^S308^I00011, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"Pre-Dose, RETROPERITONEAL MASS - 2",1
RT Structure Set Storage,"P4^P118^S307^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S307^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"Pre-dose, SUPRACLAVICULAR LYMPH NODES - 2",1
RT Structure Set Storage,"P4^P118^S304^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"Pre-Dose, INGUINAL LYMPH NODE - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT ABDOMEN - 1",1
RT Structure Set Storage,"Pre-dose, RIGHT KIDNEY - 2",1
RT Structure Set Storage,"P4^P118^S303^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P118^S303^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"Pre-dose, ILIUM - 2",1
RT Structure Set Storage,"Pre-dose, ORBIT - 1",1
RT Structure Set Storage,"P4^P118^S304^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P118^S304^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"Pre-dose, LEFT PUBIC RAMUS - 2",1
RT Structure Set Storage,"P4^P117^S303^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S303^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"Follow-up consultation, NECK - 1",1
RT Structure Set Storage,"P4^P117^S300^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S300^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"Pre-dose, BREAST - 1",1
RT Structure Set Storage,"P4^P117^S302^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"Follow-up consultation, SACRUM - 1",1
RT Structure Set Storage,"P4^P117^S302^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P117^S302^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00012, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P108^S302^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"Pre-dose, RETROCAVAL LYMPH NODE - 1",1
RT Structure Set Storage,"P4^P118^S306^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"Pre-dose, CHEST - 1",1
RT Structure Set Storage,"Follow-up consultation, PARAAORTIC - 2",1
RT Structure Set Storage,"P4^P118^S302^I00005, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00006, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"Pre-dose, ESOPHAGEAL LYMPH NODE - 2",1
RT Structure Set Storage,"P4^P118^S306^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00013, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00004, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P118^S306^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00007, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00010, Gated, 60.0%A",1
RT Structure Set Storage,"Pre-dose, LEFT AXILLARY - 2",1
RT Structure Set Storage,"P4^P112^S302^I00004, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00006, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00007, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00008, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00009, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00010, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00011, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00012, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P112^S302^I00013, Gated, 90.0%A",1
RT Structure Set Storage,"Pre-Dose, PANCREAS - 1 - 2",1
RT Structure Set Storage,"P4^P112^S302^I00005, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00009, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00011, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P110^S306^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P118^S302^I00008, Gated, 40.0%A",1
RT Structure Set Storage,"Post-Chemotherapy #1, UTERUS - 1",1
RT Structure Set Storage,"P4^P117^S301^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P117^S301^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"Pre-dose, LEFT PELVIS - 2",1
RT Structure Set Storage,"P4^P117^S301^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"Pre-dose, PARA AORTIC LYMPH NODE - 2",1
RT Structure Set Storage,"P4^P108^S304^I00009, Gated, 60.0%",1
RT Structure Set Storage,"P4^P108^S304^I00010, Gated, 70.0%",1
RT Structure Set Storage,"P4^P108^S304^I00011, Gated, 80.0%",1
RT Structure Set Storage,"P4^P108^S304^I00008, Gated, 50.0%",1
RT Structure Set Storage,"P4^P108^S305^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P108^S304^I00004, Gated, 10.0%",1
RT Structure Set Storage,"P4^P108^S303^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P108^S304^I00006, Gated, 30.0%",1
RT Structure Set Storage,"Pre-dose, RIGHT NECK - 2",1
RT Structure Set Storage,"P4^P108^S303^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00008, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P108^S304^I00007, Gated, 40.0%",1
RT Structure Set Storage,"P4^P108^S305^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P108^S304^I00012, Gated, 90.0%",1
RT Structure Set Storage,"P4^P108^S305^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00006, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00010, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P108^S305^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P108^S304^I00005, Gated, 20.0%",1
RT Structure Set Storage,"P4^P115^S304^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00007, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00009, Gated, 50.0%A",1
RT Structure Set Storage,"Pre-dose, PERIGASTRIC - 2",1
RT Structure Set Storage,"P4^P108^S303^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P108^S303^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"Pre-dose, OMENTUM - 2",1
RT Structure Set Storage,"Pre-dose, PUBIC SYMPHYSIS - 1",1
RT Structure Set Storage,"P4^P115^S304^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00011, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00004, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00012, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00005, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P115^S305^I00013, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P112^S305^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P112^S304^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S304^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P112^S303^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P112^S306^I10273, Gated, 0.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10274, Gated, 10.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10275, Gated, 20.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10276, Gated, 30.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10277, Gated, 40.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10278, Gated, 50.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10279, Gated, 60.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10280, Gated, 70.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10281, Gated, 80.0%B",1
RT Structure Set Storage,"P4^P112^S306^I10282, Gated, 90.0%B",1
RT Structure Set Storage,"P4^P115^S302^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00005, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P112^S301^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P110^S303^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00006, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00013, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"Pre-dose, BOWEL - 1",1
RT Structure Set Storage,"P4^P115^S303^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00012, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00007, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P115^S302^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00009, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00010, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P115^S303^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P115^S301^I00012, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00011, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00004, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00005, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00006, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00007, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00008, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00009, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00010, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00011, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00012, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P108^S301^I00013, Gated, 90.0%A",1
RT Structure Set Storage,"P4^P115^S300^I00008, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P115^S301^I00011, Gated, 80.0%A",1
RT Structure Set Storage,"P4^P115^S301^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P115^S301^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00003, Gated, 0.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00004, Gated, 10.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00005, Gated, 20.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00006, Gated, 30.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00007, Gated, 40.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00008, Gated, 50.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00009, Gated, 60.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00010, Gated, 70.0%A",1
RT Structure Set Storage,"P4^P110^S305^I00011, Gated, 80.0%A",1
