sop_class_name,analysis_result_id,carrier,objects,absent,zero_length,non_empty,absent_or_zero_length,type1_here,type1_violation
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,DeviceSerialNumber,636,636,0,0,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,SoftwareVersions,636,1,0,635,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,ImplementationVersionName,636,0,0,636,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,ImplementationClassUID,636,0,0,636,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,ContributingEquipmentSequence,636,0,0,0,636,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,ContentCreatorName,636,636,0,0,0,no,0
RT Structure Set Storage,cptac_ccrcc_tumor_annotations,SeriesDescription,636,0,0,636,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,Manufacturer,536,0,0,536,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,ManufacturerModelName,536,0,0,536,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,DeviceSerialNumber,536,536,0,0,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,SoftwareVersions,536,198,0,338,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,ImplementationVersionName,536,0,0,536,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,ImplementationClassUID,536,0,0,536,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,ContributingEquipmentSequence,536,0,0,0,536,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,ContentCreatorName,536,536,0,0,0,no,0
RT Structure Set Storage,cptac_pda_tumor_annotations,SeriesDescription,536,0,0,536,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,Manufacturer,617,0,0,617,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,ManufacturerModelName,617,0,0,617,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,DeviceSerialNumber,617,617,0,0,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,SoftwareVersions,617,208,0,409,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,ImplementationVersionName,617,0,0,617,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,ImplementationClassUID,617,0,0,617,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,ContributingEquipmentSequence,617,0,0,0,617,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,ContentCreatorName,617,617,0,0,0,no,0
RT Structure Set Storage,cptac_ucec_tumor_annotations,SeriesDescription,617,0,0,617,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,Manufacturer,14395,0,0,14395,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,ManufacturerModelName,14395,0,0,14395,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,DeviceSerialNumber,14395,14395,0,0,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,SoftwareVersions,14395,791,0,13604,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,ImplementationVersionName,14395,0,0,14395,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,ImplementationClassUID,14395,0,0,14395,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,ContributingEquipmentSequence,14395,0,0,0,14395,no,0
RT Structure Set Storage,eay131_tumor_annotations,ContentCreatorName,14395,14395,0,0,0,no,0
RT Structure Set Storage,eay131_tumor_annotations,SeriesDescription,14395,0,0,14395,0,no,0
RT Structure Set Storage,rider_lungct_seg,Manufacturer,59,0,0,59,0,no,0
RT Structure Set Storage,rider_lungct_seg,ManufacturerModelName,59,0,0,59,0,no,0
