stratum,carrier,objects,absent,zero_length,non_empty
not identifiable from index / rms_mutation_prediction_expert_annotations,SoftwareVersions,261,0,0,261
not identifiable from index / tcga_sbu_til_maps,ContentCreatorName,384,0,384,0
not identifiable from index / tcga_sbu_til_maps,ContributingEquipmentSequence,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,DeviceSerialNumber,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,ImplementationClassUID,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,ImplementationVersionName,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,Manufacturer,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,ManufacturerModelName,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,SeriesDescription,384,0,0,384
not identifiable from index / tcga_sbu_til_maps,SoftwareVersions,384,0,0,384
pydicom-seg / (null),ContentCreatorName,384,0,132,252
pydicom-seg / (null),ContributingEquipmentSequence,384,384,0,0
pydicom-seg / (null),DeviceSerialNumber,384,83,301,0
pydicom-seg / (null),ImplementationClassUID,384,0,0,384
pydicom-seg / (null),ImplementationVersionName,384,0,0,384
pydicom-seg / (null),Manufacturer,384,0,0,384
pydicom-seg / (null),ManufacturerModelName,384,0,0,384
pydicom-seg / (null),SeriesDescription,384,0,0,384
pydicom-seg / (null),SoftwareVersions,384,0,0,384
