series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.2.276.0.7230010.3.1.3.505801377.2044.1345983847.27,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.106739215985594343508257738194,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.2.826.0.1.3680043.8.498.34503940793969213911113281828278179809,highdicom / eay131_tumor_annotations,highdicom,eay131_tumor_annotations,eay131,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1104.1345734316.34,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.87504296911153463114707783201448661751,dcmqi / (null),dcmqi,(null),remind,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53542.1718923486.102502,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.278311415741055164152367571204662810711,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.223058685896999783742895260982,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.152929440580445891014636195509,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.17604.1599221827.76,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.23772.1599221809.995,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.26120.1599221759.302,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.16016.1599221851.990,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.25220.1599221863.968,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
